"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
16 Feb 2016 10:23:04.111,34.528,10.000,2430.731128
16 Feb 2016 10:23:24.000,35.402,11.740,2304.527436
16 Feb 2016 10:23:44.000,36.384,13.619,2178.845055
16 Feb 2016 10:24:04.000,37.492,15.648,2054.673897
16 Feb 2016 10:24:24.000,38.755,17.851,1932.365204
16 Feb 2016 10:24:44.000,40.211,20.258,1812.355414
16 Feb 2016 10:25:04.000,41.910,22.901,1695.191390
16 Feb 2016 10:25:24.000,43.924,25.817,1581.563211
16 Feb 2016 10:25:44.000,46.349,29.044,1472.345832
16 Feb 2016 10:26:04.000,49.324,32.620,1368.649816
16 Feb 2016 10:26:24.000,53.053,36.565,1271.877800
16 Feb 2016 10:26:44.000,57.832,40.865,1183.778171
16 Feb 2016 10:27:04.000,64.098,45.431,1106.468233
16 Feb 2016 10:27:24.000,72.462,50.033,1042.390033
16 Feb 2016 10:27:44.000,83.636,54.214,994.137945
16 Feb 2016 10:28:04.000,98.019,57.253,964.115019
16 Feb 2016 10:28:24.000,114.772,58.356,954.059432
16 Feb 2016 10:28:44.000,131.474,57.160,964.602251
16 Feb 2016 10:29:04.000,145.741,54.051,995.086552
16 Feb 2016 10:29:24.000,156.799,49.831,1043.756275
16 Feb 2016 10:29:44.000,165.071,45.210,1108.200159
16 Feb 2016 10:30:04.000,171.270,40.638,1185.825685
16 Feb 2016 10:30:24.000,176.002,36.338,1274.197542
16 Feb 2016 10:30:44.000,179.695,32.397,1371.206112
16 Feb 2016 10:31:04.000,182.643,28.826,1475.112211
16 Feb 2016 10:31:24.000,185.047,25.603,1584.520198
16 Feb 2016 10:31:44.000,187.043,22.692,1698.325438
16 Feb 2016 10:32:04.000,188.728,20.053,1815.657642
16 Feb 2016 10:32:24.000,190.171,17.650,1935.830338
16 Feb 2016 10:32:44.000,191.422,15.449,2058.299426
16 Feb 2016 10:33:04.000,192.519,13.423,2182.630906
16 Feb 2016 10:33:24.000,193.491,11.546,2308.474498
16 Feb 2016 10:33:41.619,194.261,10.000,2420.361536
16 Feb 2016 12:03:19.716,46.960,10.000,2429.900039
16 Feb 2016 12:03:39.000,47.013,11.738,2303.970655
16 Feb 2016 12:03:59.000,47.065,13.682,2174.230619
16 Feb 2016 12:04:19.000,47.111,15.795,2045.600874
16 Feb 2016 12:04:39.000,47.152,18.111,1918.367088
16 Feb 2016 12:04:59.000,47.185,20.669,1792.888474
16 Feb 2016 12:05:19.000,47.208,23.519,1669.622310
16 Feb 2016 12:05:39.000,47.218,26.723,1549.157629
16 Feb 2016 12:05:59.000,47.211,30.359,1432.261304
16 Feb 2016 12:06:19.000,47.178,34.523,1319.940159
16 Feb 2016 12:06:39.000,47.110,39.331,1213.521730
16 Feb 2016 12:06:59.000,46.983,44.915,1114.751225
16 Feb 2016 12:07:19.000,46.759,51.414,1025.890677
16 Feb 2016 12:07:39.000,46.348,58.940,949.770137
16 Feb 2016 12:07:59.000,45.501,67.529,889.703572
16 Feb 2016 12:08:19.000,43.188,77.058,849.134879
16 Feb 2016 12:08:39.000,23.940,87.039,830.944286
16 Feb 2016 12:08:59.000,237.936,82.250,836.602137
16 Feb 2016 12:09:19.000,232.779,72.361,865.639776
16 Feb 2016 12:09:39.000,231.429,63.245,915.825125
16 Feb 2016 12:09:59.000,230.842,55.153,983.908942
16 Feb 2016 12:10:19.000,230.536,48.122,1066.442728
16 Feb 2016 12:10:39.000,230.365,42.071,1160.316121
16 Feb 2016 12:10:59.000,230.268,36.870,1262.967882
16 Feb 2016 12:11:19.000,230.216,32.380,1372.390117
16 Feb 2016 12:11:39.000,230.194,28.478,1487.047307
16 Feb 2016 12:11:59.000,230.193,25.056,1605.774283
16 Feb 2016 12:12:19.000,230.207,22.027,1727.686153
16 Feb 2016 12:12:39.000,230.231,19.322,1852.106489
16 Feb 2016 12:12:59.000,230.264,16.884,1978.513208
16 Feb 2016 12:13:19.000,230.304,14.667,2106.498777
16 Feb 2016 12:13:39.000,230.349,12.637,2235.741199
16 Feb 2016 12:13:59.000,230.398,10.764,2365.982893
16 Feb 2016 12:14:07.604,230.420,10.000,2422.263838
16 Feb 2016 13:43:20.981,64.113,10.000,2428.476903
16 Feb 2016 13:43:40.000,63.686,11.702,2305.175425
16 Feb 2016 13:44:00.000,63.168,13.628,2176.540986
16 Feb 2016 13:44:20.000,62.562,15.716,2049.212642
16 Feb 2016 13:44:40.000,61.849,17.996,1923.511453
16 Feb 2016 13:45:00.000,61.000,20.504,1799.839557
16 Feb 2016 13:45:20.000,59.977,23.282,1678.706014
16 Feb 2016 13:45:40.000,58.727,26.380,1560.761525
16 Feb 2016 13:46:00.000,57.171,29.861,1446.844490
16 Feb 2016 13:46:20.000,55.194,33.789,1338.040522
16 Feb 2016 13:46:40.000,52.612,38.234,1235.754855
16 Feb 2016 13:47:00.000,49.132,43.247,1141.792284
16 Feb 2016 13:47:20.000,44.248,48.824,1058.418239
16 Feb 2016 13:47:40.000,37.066,54.824,988.357035
16 Feb 2016 13:48:00.000,26.004,60.808,934.641937
16 Feb 2016 13:48:20.000,8.763,65.757,900.229118
16 Feb 2016 13:48:40.000,344.781,67.969,887.383409
16 Feb 2016 13:49:00.000,320.188,66.267,897.037848
16 Feb 2016 13:49:20.000,301.940,61.582,928.487132
16 Feb 2016 13:49:40.000,290.166,55.659,979.622166
16 Feb 2016 13:50:00.000,282.560,49.620,1047.543674
16 Feb 2016 13:50:20.000,277.423,43.968,1129.200218
16 Feb 2016 13:50:40.000,273.784,38.871,1221.809644
16 Feb 2016 13:51:00.000,271.099,34.347,1323.037439
16 Feb 2016 13:51:20.000,269.049,30.348,1431.016626
16 Feb 2016 13:51:40.000,267.442,26.807,1544.289438
16 Feb 2016 13:52:00.000,266.153,23.657,1661.729208
16 Feb 2016 13:52:20.000,265.101,20.837,1782.466125
16 Feb 2016 13:52:40.000,264.229,18.293,1905.825739
16 Feb 2016 13:53:00.000,263.497,15.983,2031.281074
16 Feb 2016 13:53:20.000,262.877,13.869,2158.416445
16 Feb 2016 13:53:40.000,262.345,11.921,2286.900810
16 Feb 2016 13:54:00.000,261.886,10.116,2416.466451
16 Feb 2016 13:54:01.334,261.858,10.000,2425.141047
16 Feb 2016 15:23:09.349,87.209,10.000,2426.230921
16 Feb 2016 15:23:29.000,86.678,11.757,2299.266795
16 Feb 2016 15:23:49.000,86.056,13.683,2171.156402
16 Feb 2016 15:24:09.000,85.331,15.769,2044.435054
16 Feb 2016 15:24:29.000,84.482,18.046,1919.439179
16 Feb 2016 15:24:49.000,83.474,20.545,1796.589694
16 Feb 2016 15:25:09.000,82.264,23.309,1676.418509
16 Feb 2016 15:25:29.000,80.790,26.386,1559.603797
16 Feb 2016 15:25:49.000,78.963,29.828,1447.016218
16 Feb 2016 15:26:09.000,76.653,33.695,1339.777541
16 Feb 2016 15:26:29.000,73.658,38.039,1239.329931
16 Feb 2016 15:26:49.000,69.658,42.886,1147.508580
16 Feb 2016 15:27:09.000,64.133,48.194,1066.588663
16 Feb 2016 15:27:29.000,56.219,53.765,999.261514
16 Feb 2016 15:27:49.000,44.587,59.096,948.459119
16 Feb 2016 15:28:09.000,27.808,63.199,916.955779
16 Feb 2016 15:28:29.000,6.490,64.720,906.779817
16 Feb 2016 15:28:49.000,345.393,62.964,918.644797
16 Feb 2016 15:29:09.000,329.026,58.725,951.721787
16 Feb 2016 15:29:29.000,317.729,53.349,1003.903041
16 Feb 2016 15:29:49.000,310.036,47.787,1072.382253
16 Feb 2016 15:30:09.000,304.650,42.512,1154.235335
16 Feb 2016 15:30:29.000,300.741,37.704,1246.799228
16 Feb 2016 15:30:49.000,297.807,33.398,1347.832219
16 Feb 2016 15:31:09.000,295.540,29.567,1455.532333
16 Feb 2016 15:31:29.000,293.744,26.155,1568.484369
16 Feb 2016 15:31:49.000,292.293,23.105,1685.588205
16 Feb 2016 15:32:09.000,291.101,20.363,1805.989887
16 Feb 2016 15:32:29.000,290.107,17.881,1929.023965
16 Feb 2016 15:32:49.000,289.268,15.621,2054.168182
16 Feb 2016 15:33:09.000,288.553,13.548,2181.008958
16 Feb 2016 15:33:29.000,287.938,11.634,2309.215787
16 Feb 2016 15:33:47.332,287.447,10.000,2427.699147
16 Feb 2016 17:02:57.269,116.434,10.000,2423.369725
16 Feb 2016 17:03:17.000,116.241,11.785,2294.695703
16 Feb 2016 17:03:37.000,116.007,13.737,2165.204615
16 Feb 2016 17:03:57.000,115.728,15.860,2036.900185
16 Feb 2016 17:04:17.000,115.392,18.185,1910.083292
16 Feb 2016 17:04:37.000,114.983,20.753,1785.132297
16 Feb 2016 17:04:57.000,114.481,23.611,1662.528662
16 Feb 2016 17:05:17.000,113.856,26.820,1542.891939
16 Feb 2016 17:05:37.000,113.062,30.454,1427.027220
16 Feb 2016 17:05:57.000,112.031,34.604,1315.988278
16 Feb 2016 17:06:17.000,110.651,39.371,1211.157744
16 Feb 2016 17:06:37.000,108.728,44.864,1114.341615
16 Feb 2016 17:06:57.000,105.896,51.175,1027.854480
16 Feb 2016 17:07:17.000,101.386,58.317,954.550157
16 Feb 2016 17:07:37.000,93.315,66.093,897.699603
16 Feb 2016 17:07:57.000,76.302,73.679,860.595989
16 Feb 2016 17:08:17.000,38.175,78.205,845.858776
16 Feb 2016 17:08:37.000,354.403,75.367,854.651838
16 Feb 2016 17:08:57.000,333.172,68.168,886.271033
16 Feb 2016 17:09:17.000,323.530,60.326,938.398885
16 Feb 2016 17:09:37.000,318.346,52.992,1007.836844
16 Feb 2016 17:09:57.000,315.177,46.468,1091.258204
16 Feb 2016 17:10:17.000,313.063,40.775,1185.682775
16 Feb 2016 17:10:37.000,311.566,35.834,1288.656675
16 Feb 2016 17:10:57.000,310.458,31.538,1398.252298
16 Feb 2016 17:11:17.000,309.612,27.782,1512.988384
16 Feb 2016 17:11:37.000,308.950,24.472,1631.735749
16 Feb 2016 17:11:57.000,308.421,21.532,1753.632725
16 Feb 2016 17:12:17.000,307.994,18.896,1878.017656
16 Feb 2016 17:12:37.000,307.643,16.513,2004.377726
16 Feb 2016 17:12:57.000,307.354,14.343,2132.311124
16 Feb 2016 17:13:17.000,307.113,12.350,2261.499297
16 Feb 2016 17:13:37.000,306.911,10.507,2391.686971
16 Feb 2016 17:13:42.774,306.860,10.000,2429.425146
16 Feb 2016 18:43:07.406,150.853,10.000,2420.900480
16 Feb 2016 18:43:27.000,151.362,11.759,2294.173547
16 Feb 2016 18:43:47.000,151.941,13.693,2165.819779
16 Feb 2016 18:44:07.000,152.592,15.794,2038.722921
16 Feb 2016 18:44:27.000,153.333,18.089,1913.193654
16 Feb 2016 18:44:47.000,154.188,20.618,1789.621531
16 Feb 2016 18:45:07.000,155.189,23.424,1668.500417
16 Feb 2016 18:45:27.000,156.382,26.563,1550.462838
16 Feb 2016 18:45:47.000,157.833,30.098,1436.325933
16 Feb 2016 18:46:07.000,159.644,34.107,1327.151457
16 Feb 2016 18:46:27.000,161.975,38.669,1224.320026
16 Feb 2016 18:46:47.000,165.092,43.858,1129.615341
16 Feb 2016 18:47:07.000,169.469,49.704,1045.293536
16 Feb 2016 18:47:27.000,176.002,56.124,974.094304
16 Feb 2016 18:47:47.000,186.483,62.748,919.105616
16 Feb 2016 18:48:07.000,204.245,68.571,883.383881
16 Feb 2016 18:48:27.000,231.939,71.505,869.322499
16 Feb 2016 18:48:47.000,261.424,69.694,877.967523
16 Feb 2016 18:49:07.000,281.654,64.370,908.666156
16 Feb 2016 18:49:27.000,293.593,57.827,959.290039
16 Feb 2016 18:49:47.000,300.904,51.318,1026.875040
16 Feb 2016 18:50:07.000,305.717,45.324,1108.295267
16 Feb 2016 18:50:27.000,309.098,39.980,1200.707292
16 Feb 2016 18:50:47.000,311.599,35.276,1301.735101
16 Feb 2016 18:51:07.000,313.526,31.144,1409.487526
16 Feb 2016 18:51:27.000,315.060,27.503,1522.494845
16 Feb 2016 18:51:47.000,316.314,24.277,1639.626093
16 Feb 2016 18:52:07.000,317.362,21.397,1760.011546
16 Feb 2016 18:52:27.000,318.255,18.807,1882.979137
16 Feb 2016 18:52:47.000,319.027,16.460,2008.005321
16 Feb 2016 18:53:07.000,319.705,14.316,2134.678197
16 Feb 2016 18:53:27.000,320.306,12.345,2262.670475
16 Feb 2016 18:53:47.000,320.845,10.520,2391.717983
16 Feb 2016 18:53:52.977,320.996,10.000,2430.457311
16 Feb 2016 20:24:04.255,189.390,10.000,2420.259448
16 Feb 2016 20:24:24.000,190.837,11.642,2301.718900
16 Feb 2016 20:24:44.000,192.471,13.408,2183.603417
16 Feb 2016 20:25:04.000,194.309,15.288,2067.844426
16 Feb 2016 20:25:24.000,196.390,17.294,1954.913564
16 Feb 2016 20:25:44.000,198.764,19.436,1845.381813
16 Feb 2016 20:26:04.000,201.494,21.723,1739.941343
16 Feb 2016 20:26:24.000,204.657,24.156,1639.429903
16 Feb 2016 20:26:44.000,208.350,26.726,1544.855394
16 Feb 2016 20:27:04.000,212.688,29.407,1457.417397
16 Feb 2016 20:27:24.000,217.804,32.142,1378.513498
16 Feb 2016 20:27:44.000,223.834,34.835,1309.721933
16 Feb 2016 20:28:04.000,230.893,37.339,1252.739363
16 Feb 2016 20:28:24.000,239.014,39.454,1209.260726
